DATA;DESCRICAO;CATEGORIA;SUBCATEGORIA;VALOR
2025-04-01;Mp Thecreams;Desconhecido;Desconhecido;37.48
2025-04-01;Roupas Mari Amaral;Vestuário;Roupas;80.52
2025-04-01;Shopee Doceriacapelinha;Mercado;Balinhas;23.52
2025-04-01;Queima Diária;Saúde;Personal;39.9
2025-04-01;Roupas Nalisa Modas;Vestuário;Roupas;63.29
2025-04-01;Amazon Livros;Lazer;Leitura;12.38
2025-04-01;Roupas Jordana de Castro;Vestuário;Roupas;53.91
2025-04-01;Roupas Naguirre;Presente;Mamis;16.15
2025-04-01;Roupas Nayara Marques;Vestuário;Roupas de Academia;123.18
2025-04-01;Roupas Jordana de Castro;Vestuário;Roupas;14.17
2025-04-01;We Pink;Beleza;Cosméticos;72.55
2025-04-01;Stúdio Stéfane Leão;Beleza;Unhas;25.6
2025-04-01;Bárbara Caroline Gonçalves;Beleza;Sobrancelhas;10.88
2025-04-01;Shopee Mikacrazycosmt;Beleza;Cosméticos;69.8
2025-04-01;Shopee Allminionline;Lazer;Papelaria;22.31
2025-04-01;Amazon Livros;Lazer;Leitura;50.69
2025-04-01;Drogafort;Saúde;Medicamentos;49.61
2025-04-01;Roupas Mari Amaral;Vestuário;Roupas;51.94
2025-04-01;Roupas Mari Amaral;Vestuário;Roupas;75.69
2025-04-01;Shopee Spadesivo;Lazer;Papelaria;12.58
2025-04-01;Roupas Dalia Modas;Vestuário;Roupas;90.45
2025-04-01;We Pink;Beleza;Cosméticos;55.48
2025-04-01;Roupas Over Moda;Vestuário;Roupas;75.6
2025-04-01;Shopee Lojinhamiau;Lazer;Papelaria;26.56
2025-04-01;Roupas Mari Amaral;Vestuário;Roupas;82.16
2025-04-01;Pauer Kids;Vestuário;Sapatos;32.0
2025-04-01;Mulher em Forma;Saúde;Personal;39.9
2025-04-01;Mp Wncstore;Desconhecido;Desconhecido;27.11
2025-04-01;Amazon Livros;Lazer;Leitura;187.02
2025-04-01;Usevittal;Vestuário;Sapatos;46.3
2025-04-01;Shopee Plannetstudio;Lazer;Caderninhos;20.52
